track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,0.23598868,0.36436436,0.975353,0.24439612,0.29306275,0.39200756,0.2854247,0.24719764,0.22804123,0.3747256,0.17820428,0.25062895,0.08286131,0.115716614,0.08738674,0.09001881,0.13401918,0.26067778,0.0999524,0.07674834,0.08222163,0.09466188,0.06771811,0.09115122
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,0.26168922,0.3748654,0.96025413,0.26622736,0.28581977,0.4131474,0.3663547,0.4373523,0.26803365,0.5003748,0.2029094,0.27036247,0.07018508,0.10938598,0.094564304,0.111230604,0.06745703,0.20117252,0.09388611,0.23522744,0.06513719,0.18679878,0.050267376,0.07990757
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,0.18622991,0.34277222,0.97766376,0.2547327,0.17855772,0.1673607,0.14763756,0.1407505,0.12191361,0.2309476,0.12743063,0.14275156,0.14587606,0.19103362,0.08702208,0.19183241,0.185156,0.17863932,0.15675205,0.15093586,0.10222714,0.07679691,0.114213526,0.12154688
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,0.1360408,0.2210313,0.97278655,0.19124234,0.12057748,0.108033605,0.109573364,0.12800531,0.15819766,0.18165566,0.133593,0.12629385,0.1112546,0.16990426,0.1222511,0.12289129,0.063063845,0.05092515,0.06080385,0.0892112,0.17050828,0.17791712,0.07212733,0.081017114
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,0.17212342,0.25003865,0.92822146,0.32532433,0.21099186,0.19914968,0.17502181,0.14189985,0.1541702,0.30667517,0.20901333,0.16546586,0.116320506,0.108358346,0.17194664,0.20446467,0.19015586,0.1789575,0.16870801,0.092122935,0.08968828,0.2253579,0.14844194,0.18780205
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,0.12690969,0.17013039,0.77912885,0.18273565,0.12516487,0.121546626,0.16019295,0.2200836,0.25121832,0.3603515,0.14823249,0.12061504,0.07646534,0.10696213,0.36211178,0.13194081,0.07673211,0.08179851,0.17708318,0.25752333,0.28485134,0.36105457,0.08746335,0.07399617
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,0.059820544,0.08716956,0.9652375,0.10134534,0.10440407,0.0776735,0.055949938,0.05297784,0.046266418,0.16148688,0.05761989,0.053755213,0.07005349,0.09905665,0.1467912,0.16600898,0.24437036,0.15130895,0.10589195,0.07772397,0.06541718,0.12202935,0.11215897,0.05785453
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,0.56458837,0.5894292,0.7181777,0.7331876,0.80556566,0.6177102,0.4434925,0.43908718,0.4163011,0.56347346,0.3909226,0.43151587,0.18533587,0.16347446,0.21815413,0.17040873,0.23602772,0.2153287,0.15941337,0.12552015,0.15639398,0.2429541,0.16752386,0.15186761
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,0.49809298,0.558364,0.7144947,0.48913336,0.46997255,0.56565756,0.53581685,0.7494688,0.66555464,0.72776926,0.7907659,0.5553273,0.16846603,0.18563072,0.18083838,0.14475556,0.15592708,0.16418648,0.13503155,0.18702428,0.20550294,0.22856548,0.2190914,0.15313226
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,0.6211628,0.6135351,0.7682661,0.6267428,0.63818353,0.87860686,0.5282546,0.5287964,0.6142978,0.82211995,0.59141815,0.4911123,0.16421758,0.1545585,0.168562,0.15096068,0.17410177,0.14585845,0.11596119,0.15566327,0.1755594,0.16905661,0.14070478,0.15185902
st12-jangan_pernah_berubah,verse,F,I,31.672018141,34.806712018,0.6944346,0.61445063,0.5331782,0.548713,0.6235601,0.73549813,0.5367317,0.53633636,0.622097,0.87268573,0.6255819,0.6018797,0.21655132,0.19103411,0.19890262,0.19546393,0.19405696,0.21101473,0.19820756,0.15644705,0.18918079,0.17023294,0.19152768,0.15052252
st12-jangan_pernah_berubah,verse,Gm,ii,34.806712018,37.918185941,0.5657321,0.51305676,0.7894565,0.59003556,0.46670732,0.6010519,0.52037287,0.7983048,0.5376942,0.547631,0.76471406,0.61228585,0.20152617,0.16753057,0.17568262,0.1656792,0.11865221,0.14727561,0.16893955,0.22231099,0.15834661,0.17932452,0.18576473,0.12865463
st12-jangan_pernah_berubah,verse,A,III,37.918185941,44.048253968,0.32587448,0.4683916,0.47955167,0.35354394,0.5142545,0.43098652,0.351433,0.34846973,0.38080683,0.58427566,0.28337476,0.27271226,0.25488946,0.33111566,0.29756886,0.25605842,0.35119596,0.33597746,0.26363257,0.2645759,0.2609967,0.37191403,0.24612533,0.19078001
st12-jangan_pernah_berubah,verse,Dm,vi,44.048253968,47.25260771,0.08161903,0.17335165,0.95593196,0.10867877,0.13040903,0.089443535,0.07398794,0.06937434,0.11609167,0.2555454,0.08538311,0.07083654,0.08647613,0.15251496,0.14460401,0.10994663,0.21911728,0.12999597,0.08722732,0.07153319,0.15244363,0.24216534,0.104339875,0.07860287
st12-jangan_pernah_berubah,verse,Am,iii,47.25260771,50.340861678,0.040169183,0.047062453,0.05407076,0.07629201,0.23400863,0.10947786,0.08530802,0.10785924,0.20489715,1.0,0.11159271,0.04109887,0.038039114,0.04080556,0.051403016,0.07764991,0.14925542,0.12195392,0.09361712,0.121620566,0.23382416,0.0,0.12219666,0.048379324
st12-jangan_pernah_berubah,verse,Gm,ii,50.340861678,53.49877551,0.05583665,0.113552146,0.280042,0.08881278,0.070458904,0.07921856,0.16586943,0.9846786,0.14852774,0.102371275,0.05451837,0.039496552,0.060132097,0.14385237,0.23015411,0.09823423,0.08243856,0.093477294,0.14645727,0.062672585,0.23801823,0.14695317,0.06636014,0.04186199
st12-jangan_pernah_berubah,verse,Dm,vi,53.49877551,56.587029478,0.09208258,0.19621499,0.795476,0.13192445,0.32531068,0.097568616,0.07542142,0.078374736,0.12150141,0.21531136,0.10941768,0.13632216,0.10241688,0.19291188,0.367155,0.11015353,0.39270484,0.07561193,0.067006744,0.072313674,0.13328387,0.25480813,0.12998603,0.11867193
st12-jangan_pernah_berubah,verse,F,I,56.587029478,59.698503401,0.13624881,0.049239602,0.05245131,0.061870646,0.1196334,1.0,0.11026694,0.035160713,0.019876746,0.04553963,0.021673277,0.043753274,0.11588517,0.060247328,0.07060941,0.07427931,0.13758612,0.0,0.11893486,0.055212777,0.02468188,0.030769764,0.031786423,0.06867797
st12-jangan_pernah_berubah,verse,Gm,ii,59.698503401,62.902857143,0.09520157,0.17674923,0.34188727,0.15582652,0.1427712,0.1843971,0.3395169,0.97692466,0.15016605,0.11267477,0.07158271,0.067088716,0.09136486,0.18504871,0.25859937,0.15687057,0.17087954,0.17945391,0.287367,0.077991575,0.17537649,0.17341934,0.1308845,0.096445136
st12-jangan_pernah_berubah,verse,A,III,62.902857143,69.009705215,0.053073745,0.067528695,0.068558566,0.1317047,0.30693173,0.11269898,0.07453813,0.077793926,0.15522447,0.981249,0.1371254,0.061497316,0.0517584,0.06051211,0.06403485,0.14946455,0.24527508,0.123215884,0.08444386,0.09579896,0.19276214,0.08216684,0.15901579,0.08816032
st12-jangan_pernah_berubah,pre-chorus,Bb,IV,69.009705215,70.658321995,0.13279532,0.1056962,0.08575913,0.119870394,0.17275415,0.41727567,0.19730589,0.10557877,0.08616701,0.17575575,0.9669926,0.17072026,0.12234991,0.079208225,0.05752403,0.09494461,0.15459695,0.30082315,0.20425956,0.102415234,0.071345516,0.16262826,0.09335806,0.15365547
st12-jangan_pernah_berubah,pre-chorus,C,V,70.658321995,72.190839002,1.0,0.23153523,0.14548795,0.12433257,0.1197549,0.13026524,0.12642299,0.23235552,0.1309688,0.14170821,0.15844943,0.25247335,0.0,0.222456,0.17716949,0.1716801,0.1724551,0.1871427,0.1782285,0.15054768,0.16050686,0.16175091,0.16576777,0.22055304
st12-jangan_pernah_berubah,pre-chorus,F,I,72.190839002,72.98031746,0.088967204,0.047662623,0.04631906,0.058683995,0.10295068,1.0,0.12213654,0.048346438,0.038353436,0.037995357,0.035694268,0.034784682,0.039305493,0.03661108,0.03925776,0.05446306,0.09373334,0.0,0.10028973,0.043836296,0.036453284,0.034608554,0.034849737,0.032867976
st12-jangan_pernah_berubah,pre-chorus,Em,vii,72.98031746,73.793015873,0.15232928,0.20304912,0.21862385,0.28801018,0.97474945,0.17000723,0.117993355,0.09636039,0.1408827,0.13491003,0.17069688,0.2127761,0.19658034,0.28796053,0.29675245,0.28000373,0.08774124,0.10955974,0.095363125,0.10177678,0.18243511,0.20263198,0.22157851,0.14267984
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,73.793015873,75.348752834,0.12898958,0.23410913,0.8495941,0.3117679,0.21595263,0.11865993,0.14636646,0.11451751,0.2395649,0.40111163,0.17117408,0.09069103,0.09012749,0.12597473,0.24698281,0.30687502,0.1690758,0.08849842,0.1288324,0.08861159,0.24355006,0.33505046,0.13780284,0.07899726
st12-jangan_pernah_berubah,pre-chorus,Em,vii,75.348752834,76.834829932,0.03838182,0.049082402,0.058209095,0.087350674,1.0,0.09401519,0.045249067,0.03783875,0.03258344,0.024334477,0.02983841,0.10802321,0.031728126,0.03667044,0.045745686,0.0737525,0.0,0.076921254,0.038164433,0.028320678,0.025384964,0.021182349,0.027445367,0.02720032
st12-jangan_pernah_berubah,pre-chorus,A,III,76.834829932,78.390566893,0.08861982,0.09518197,0.10678392,0.1227922,0.2562561,0.14436422,0.15079334,0.174924,0.27635467,1.0,0.18212518,0.08805986,0.08001434,0.08650008,0.099167764,0.1107382,0.08339193,0.12828934,0.13462909,0.14677782,0.22099704,0.0,0.1455619,0.07690867
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,78.390566893,81.478820862,0.1073224,0.19174458,0.84302205,0.19010839,0.26218012,0.15103407,0.15029038,0.24457157,0.17213948,0.31704694,0.117990226,0.11402664,0.086012974,0.14304616,0.2575401,0.20749259,0.30903763,0.13484049,0.13865983,0.31688225,0.15724704,0.25732338,0.10082838,0.12328507
