track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-760.5624,43.976665,6.1023893,23.25337,12.705143,0.79989886,4.6787176,6.5582414,5.4400406,7.161374,18.234388,4.333164,2.5766013,66.85026,17.287165,8.2606535,8.931063,7.7468486,5.8737845,7.8080797,5.625102,4.3731093,3.4887676,6.0676804,3.8584464,4.3668685
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-770.05597,45.437843,8.234732,19.564621,11.926112,-0.32194743,3.9272335,6.8046694,5.9879003,8.911942,15.626783,2.0930073,-0.095365226,60.86775,14.1328535,5.4723973,8.703544,6.2417507,5.7479796,6.8396378,5.3187723,3.868968,4.530903,6.435177,3.6200285,3.9704688
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-424.961,187.58492,74.44417,48.86897,31.805246,13.443694,14.839149,12.283379,6.180459,5.0094376,4.8881307,2.8360822,-0.9529352,56.94968,47.551487,20.800123,15.027656,10.38506,6.940962,5.458125,5.360331,5.3375425,4.339343,4.6700926,3.606679,3.1803188
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-411.82025,184.10825,74.21771,41.253986,26.794477,8.54207,5.8323884,1.8604225,-5.979784,-5.051253,-2.3340006,-4.023982,-5.8008347,41.182514,17.36378,12.74563,8.871248,6.134935,6.60729,6.1900077,6.2401853,6.636851,5.977681,4.494595,5.835907,3.7386618
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,-422.47314,176.81693,82.95461,52.10527,36.81692,17.204521,15.77002,16.359917,8.963316,7.354131,9.556384,7.180538,1.6009444,34.067562,14.714887,14.194901,8.153723,7.517817,6.2536554,5.5968385,5.43602,4.9217896,4.9649286,4.724135,4.106736,3.4607358
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-428.6376,167.26627,75.08429,41.54902,30.276886,13.808549,8.061086,6.614024,-0.5872029,-3.4246056,-0.6703493,-1.5910604,-5.8631535,42.237053,16.043041,14.1445055,8.161792,6.8399944,7.672384,7.3534894,7.0207157,6.39327,5.4142437,4.5737934,5.076861,4.65505
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-495.21643,137.48131,75.80543,50.395073,39.839962,29.961224,23.96956,17.666697,10.158937,7.7073345,9.028691,5.5771713,-0.07043199,62.118668,43.83516,15.90381,8.801207,5.6914506,6.9951,5.7654276,5.299189,5.2686877,4.7013383,3.5998192,4.2663317,5.884955
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-862.6491,70.11627,16.564009,17.664211,13.192662,11.056751,6.938494,5.384858,0.22641881,1.1375068,5.880491,5.0203447,1.4219872,65.763596,32.178215,9.718739,10.351443,4.927039,7.8758874,5.363514,4.940342,4.747655,3.8768396,4.8250475,4.2319994,4.119775
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-845.401,63.4542,2.917732,9.569423,4.8586607,6.265399,-2.6837633,-0.6022727,-6.500578,-0.9497432,-1.5030811,-3.6170743,-4.6152825,42.140633,9.423005,6.7034945,6.2934194,6.990023,4.818625,5.1007233,5.124612,5.385107,5.4381976,4.7580376,5.0773807,4.1748
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-876.25104,54.560467,2.606687,7.4292502,5.7595096,7.6626077,3.2757454,1.0114065,-3.671233,2.3235612,2.3519983,4.8717303,-1.1908646,66.60828,11.010422,6.434096,4.6172476,7.1653795,4.5260415,5.734079,5.0163765,5.405406,4.979593,3.8784046,3.8853395,3.8147194
st12-jangan_pernah_berubah,verse,F,I,31.672018141,34.806712018,-835.35846,57.815556,0.85916734,11.684968,8.141928,1.790986,-1.6893995,0.6098834,-6.2463045,-2.177743,-2.870611,1.0800203,-4.608793,47.98211,11.464394,6.8185315,6.0704613,6.560512,5.4853215,4.5438023,4.807076,4.7147956,5.7319403,3.7329273,3.7929583,3.5904942
st12-jangan_pernah_berubah,verse,Gm,ii,34.806712018,37.918185941,-894.6713,54.500305,11.1153,5.8824687,10.653689,5.3541117,2.208356,0.09492371,-0.6868007,-3.9191117,0.94507134,-0.57351595,-1.1644969,44.534115,13.560638,8.051979,5.9321494,5.9743,4.9115744,4.490224,4.1488156,3.9598477,4.9603324,4.9760838,4.5798807,4.531711
st12-jangan_pernah_berubah,verse,A,III,37.918185941,44.048253968,-451.20905,85.694405,-0.18459082,0.33019218,6.2200537,2.490542,2.4398096,-0.39103216,-0.37774506,-0.25776407,-0.97865546,-0.22711253,0.14894682,125.71187,89.36958,17.529354,10.890769,9.382199,7.4269795,6.8259015,5.5634646,6.87575,4.8726954,3.5861223,3.0088484,2.150101
st12-jangan_pernah_berubah,verse,Dm,vi,44.048253968,47.25260771,-432.94733,161.56392,73.66994,40.824024,40.367764,37.939743,29.8964,19.012512,11.510448,11.553409,11.477301,6.1517534,0.539503,60.46441,33.997566,22.29984,18.8154,9.682219,8.040056,7.0006146,6.362442,4.82689,5.0576754,5.9983664,5.64209,5.040009
st12-jangan_pernah_berubah,verse,Am,iii,47.25260771,50.340861678,-477.37604,132.07613,89.36195,64.8301,53.173435,43.51807,35.83081,27.025621,17.896713,15.295267,16.18527,11.828085,4.5512,29.06708,21.090534,15.616276,12.829033,5.9101477,5.616258,6.1131997,5.7730064,4.611958,4.2393613,4.2424097,3.4356556,3.34703
st12-jangan_pernah_berubah,verse,Gm,ii,50.340861678,53.49877551,-462.30725,155.54973,86.65181,54.797226,47.679886,41.624523,34.75585,26.003153,17.446117,16.746838,17.676277,10.47467,3.1890275,40.886864,16.922537,13.167751,9.883811,5.9422398,5.738754,5.1252675,4.1117744,3.856619,3.6044192,3.7531018,4.6226635,3.9199667
st12-jangan_pernah_berubah,verse,Dm,vi,53.49877551,56.587029478,-468.6718,147.69464,92.86544,62.314262,49.3085,38.5859,29.11182,18.98811,9.386061,7.7716455,9.705008,5.797283,0.48601633,49.78817,24.7923,15.090784,13.360274,9.022222,6.988938,6.8690825,6.909283,6.029086,5.3491545,4.9144125,4.4268856,4.047295
st12-jangan_pernah_berubah,verse,F,I,56.587029478,59.698503401,-492.68994,136.43634,91.81341,71.68348,59.33479,43.172054,34.947838,30.197697,20.120937,14.295232,14.904733,10.597,3.1108987,36.107758,14.690844,15.55312,11.238969,6.5151744,6.0161495,7.135908,4.9355936,4.1999664,4.2640033,3.5349526,3.1799011,3.5117233
st12-jangan_pernah_berubah,verse,Gm,ii,59.698503401,62.902857143,-482.5109,126.96368,91.046455,67.515114,53.83961,41.926056,33.234222,27.361761,21.354872,16.84678,14.042421,9.971188,5.7427697,47.554825,24.508928,15.150338,13.82949,7.5842896,5.9261127,7.672093,7.2165103,5.0466766,4.033342,3.9079938,4.2193027,3.7410471
st12-jangan_pernah_berubah,verse,A,III,62.902857143,69.009705215,-484.47955,127.72582,94.85066,71.81666,55.598286,42.77808,35.334423,28.177837,19.203827,15.230367,14.865879,10.719842,6.143576,37.139248,22.812466,14.271199,12.369619,7.5985546,5.7389026,5.737295,5.8004494,4.892448,4.314375,4.071516,4.2856607,4.129467
st12-jangan_pernah_berubah,pre-chorus,Bb,IV,69.009705215,70.658321995,-467.3637,145.51863,92.949394,64.318756,50.883354,40.445984,34.10443,25.20358,13.197239,9.816001,12.050985,7.4035645,0.75575453,32.437214,28.512077,16.923208,13.7657385,8.155523,6.5242777,6.9799995,7.184603,6.253468,4.2078924,3.2022736,4.209251,4.2167854
st12-jangan_pernah_berubah,pre-chorus,C,V,70.658321995,72.190839002,-478.2159,137.45201,88.46269,63.620174,47.169968,33.304554,28.008049,22.186338,11.590003,7.1184826,8.040896,4.904403,0.49690667,63.88572,30.776482,19.906149,13.414914,9.231181,5.261158,5.0189266,5.097564,4.4330764,4.8401084,4.1140504,4.530747,4.46027
