track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-230.63094,173.04384,-28.706701,23.905466,7.3797855,2.7692094,6.9170856,-0.5935389,-2.160409,5.02811,8.156653,3.4755764,-7.3032866,81.841835,38.324112,14.737636,11.640934,12.86217,5.231249,7.021045,5.175847,4.0985928,6.5659246,3.9777641,5.810394,6.0166717,0.16220592,0.22261581,0.27137774,0.26305228,0.45169032,0.6197931,0.18257238,0.1253862,0.27948105,0.32512861,0.20488574,0.13891606,0.19616851,0.26061773,0.32748023,0.25444207,0.3340463,0.3751364,0.10342662,0.15981884,0.32506347,0.37477237,0.24944896,0.15497719
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-232.85683,184.40329,-25.646553,20.242275,8.184786,3.239543,3.9221861,-3.664846,0.7341572,8.257887,4.0115643,-2.909003,-8.865866,60.939808,21.682743,15.192997,8.867324,12.257583,5.577568,6.2756577,5.9282246,5.560302,4.1557255,3.464099,5.9214125,5.2611017,0.12211973,0.1852511,0.24545726,0.17642726,0.13780572,0.39534643,0.21815686,0.54833895,0.3418321,0.31349406,0.19638088,0.114704296,0.17400365,0.24780872,0.3198916,0.23289251,0.11248914,0.42132163,0.04627251,0.41453007,0.31254643,0.39477408,0.26019588,0.14608078
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-324.5213,160.40575,-16.052607,-0.22881044,-5.6887956,-10.323709,-17.472008,-7.1903853,-3.5752625,0.4095325,2.9878862,3.41488,-3.0940583,84.14449,19.442278,28.867207,11.687319,8.906736,8.071925,10.862452,7.362774,8.81113,5.031516,4.4559536,5.054067,4.9109893,0.11691544,0.12872693,0.14371307,0.222189,0.66227615,0.6242927,0.20524289,0.20082912,0.16071753,0.13289952,0.08663355,0.103716515,0.19724202,0.22254024,0.25828928,0.23753804,0.356547,0.33803123,0.14764853,0.31707093,0.26306006,0.20533225,0.14305986,0.17658798
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-314.69077,173.654,-15.015213,4.512657,-1.5476303,-4.609684,-11.392375,-3.1757474,-2.8959615,-0.7534721,3.4399736,1.8120514,-6.148392,73.76442,12.339731,28.793816,8.617535,12.93174,7.9609127,10.081046,7.881078,7.180066,6.3715134,5.7962484,5.8814836,5.224989,0.15325499,0.20593323,0.35513377,0.25377175,0.27258787,0.52540344,0.28495243,0.5763472,0.24729784,0.19310623,0.2036743,0.14989759,0.20652314,0.25730178,0.37318385,0.2911702,0.2594789,0.4018288,0.11731094,0.38377562,0.15936905,0.20681457,0.23044892,0.18720394
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,-305.6152,190.275,-5.8039308,10.61509,6.0236754,-0.9365747,-8.308309,1.2491771,-0.32894853,0.525488,5.722517,5.2794495,-0.94825,51.42863,14.108734,22.806675,12.219324,9.663602,10.225979,11.824509,8.880203,7.9659724,8.757961,6.1199393,3.9427087,4.3123074,0.13442558,0.18602598,0.26522997,0.3115316,0.6502149,0.5347278,0.15574114,0.12521243,0.226417,0.3292095,0.22240907,0.1472824,0.1748284,0.23687144,0.34481162,0.25206783,0.30499998,0.35150936,0.11171909,0.19978967,0.29844436,0.420221,0.29899555,0.19707067
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-320.48328,185.14142,-0.7129261,7.175784,2.9211593,1.9187872,-3.4790685,3.823916,1.0178602,-0.9703516,4.111649,3.6487813,-3.6431572,67.12588,22.523033,29.271093,12.213278,12.391524,9.888458,10.729703,7.003375,6.564904,7.2277164,5.6968727,6.4562597,6.0795546,0.18635605,0.26860714,0.47100332,0.33018526,0.2645762,0.40040392,0.22145483,0.46987292,0.18195179,0.21046689,0.26518622,0.18699916,0.20348017,0.27256674,0.41583523,0.33721077,0.2225954,0.3702707,0.11887692,0.41533223,0.10615499,0.20079257,0.27903268,0.16726
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-486.0647,178.30576,11.665707,13.697544,11.3357935,23.893528,6.241741,8.122321,-1.6031647,-1.283001,12.445681,6.495859,0.8283354,106.069565,45.10244,21.26674,6.7833033,8.030521,8.86229,5.7861323,6.1340265,5.6400757,4.741317,6.558982,4.0190697,4.7102494,0.3470027,0.43986592,0.6739603,0.59156466,0.44674945,0.34572372,0.24282238,0.42676768,0.60767597,0.9118521,0.65227264,0.42080238,0.13484314,0.17660387,0.2677574,0.25976023,0.19880676,0.13790253,0.10482537,0.24568573,0.17016098,0.17626823,0.15124753,0.12713136
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-859.7144,90.49959,15.358956,15.2874365,13.186836,10.18867,3.7709858,7.1309614,-1.6621351,-0.07292425,4.554907,0.84177303,-4.039252,87.09891,45.613064,10.344312,8.402867,5.9057403,5.7194285,5.2520356,6.9970903,3.153224,4.129094,6.8597655,4.045192,5.02002,0.45138657,0.46151504,0.54543465,0.5487722,0.6505054,0.5271147,0.33942083,0.356781,0.50963366,0.8316032,0.70627564,0.40252337,0.21003868,0.19836365,0.28751045,0.2867654,0.28596926,0.21898635,0.14924808,0.16617994,0.19099645,0.19396722,0.19961081,0.15794168
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-853.5598,65.67171,11.203625,5.160918,9.204585,6.900976,-2.8106031,-0.99161124,-7.1264567,-2.10164,-3.3995972,-6.1020136,-5.9982104,34.472076,18.815601,9.495571,6.9150996,6.294663,7.3133216,4.969658,5.8041396,5.039269,4.469604,4.4472337,5.3915076,4.427054,0.24491997,0.25111628,0.3582424,0.27848595,0.19753115,0.26626387,0.32067415,0.4463822,0.47519776,0.5697662,0.7824259,0.5752194,0.18708369,0.21018237,0.25560823,0.22780274,0.17965487,0.19658288,0.24458405,0.32504797,0.26918685,0.26734537,0.25949746,0.30858138
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-889.4281,52.39559,7.0508676,4.6053696,10.637812,7.68491,-0.059122916,-1.3887846,-5.4565754,0.30030432,1.6189873,3.0857084,-5.7565303,62.40651,18.725468,7.363692,5.138884,6.5464225,4.014416,4.7342315,6.151136,5.4300365,4.4535413,4.2417717,3.6599243,3.5845652,0.36745265,0.4300839,0.5558158,0.49252874,0.48614195,0.78171533,0.51235145,0.37811348,0.46103913,0.78620595,0.626383,0.35870892,0.20387985,0.19524744,0.23368792,0.2218641,0.17508416,0.23770465,0.17156997,0.1916304,0.20383048,0.23628879,0.20195277,0.1818255
st12-jangan_pernah_berubah,verse,F,I,31.672018141,34.806712018,-842.86884,58.97295,7.9668474,7.023003,13.83777,1.5757878,-4.3546767,-3.5809572,-7.0770597,-4.952562,-4.2133102,0.37276912,-6.632712,39.54054,23.255293,6.88456,7.004381,6.975571,5.307523,5.5885167,4.9052696,4.3696775,6.131642,4.146291,3.723425,4.428432,0.5589734,0.39352337,0.30766562,0.30196872,0.5262424,0.48316318,0.24128155,0.29969907,0.63528395,0.77175635,0.4896092,0.552847,0.2850427,0.2533178,0.23968963,0.22936033,0.2814072,0.25987914,0.15988092,0.18266729,0.25708956,0.26877794,0.20641571,0.28376016
st12-jangan_pernah_berubah,verse,Gm,ii,34.806712018,37.918185941,-901.6603,59.452785,6.991669,4.0797706,11.068479,6.1757994,-0.91461605,0.566806,-3.769085,-2.8275256,-4.253603,-0.38006932,-2.8715365,40.010303,14.420067,7.1678357,6.6355295,6.438729,5.3124433,4.6561995,4.3792367,4.382197,4.8714256,4.483366,4.330735,4.4787197,0.42642784,0.36567786,0.61848176,0.57490313,0.33543554,0.43599263,0.4020506,0.47879055,0.4906659,0.51938874,0.79628664,0.72168446,0.17263977,0.18747117,0.282898,0.2675658,0.15465435,0.22090231,0.1739077,0.23219967,0.2246528,0.21443848,0.23175636,0.24345337
st12-jangan_pernah_berubah,verse,A,III,37.918185941,44.048253968,-816.7371,82.420044,11.528666,5.9461846,6.6448,8.675354,-1.3100953,1.3219686,-4.203937,-3.0680747,0.7479517,2.6549323,-2.7900195,56.27818,23.68493,10.871838,8.791857,10.101843,8.178384,7.4189177,5.461772,6.9295444,6.809996,5.193371,5.1054387,5.363001,0.24133001,0.34058338,0.3976129,0.2871175,0.56077653,0.5177945,0.26983756,0.21147096,0.29619393,0.5530263,0.47616416,0.36898923,0.18610865,0.31387702,0.2909722,0.213353,0.3660048,0.33518973,0.21573095,0.15241827,0.18266717,0.36989683,0.32089823,0.26319
st12-jangan_pernah_berubah,verse,Dm,vi,44.048253968,47.25260771,-748.0664,110.51954,19.831173,6.1800046,5.444184,9.523344,0.5916479,0.91991043,-12.7252865,-4.4031587,-1.1001881,1.9170501,-3.2297833,40.723972,16.966537,8.003436,7.343449,10.74553,6.8846574,5.0203576,5.918535,5.5319624,6.1290936,5.5159526,4.942212,5.9415326,0.2021474,0.40111995,0.7763266,0.35870996,0.37065586,0.52647287,0.22013845,0.10888858,0.26416636,0.68763447,0.3054735,0.25280985,0.18782142,0.19059838,0.2636533,0.13634206,0.21804826,0.29037312,0.1338708,0.0770764,0.14875612,0.3151574,0.19222037,0.2198859
st12-jangan_pernah_berubah,verse,Am,iii,47.25260771,50.340861678,-683.94666,130.88608,4.8981485,10.296583,13.2099,9.814221,3.2418096,2.1709564,-3.7662637,-2.9847527,1.0677105,-0.5564355,-5.6401796,67.7989,29.314186,18.140425,9.705074,6.0918884,6.871764,4.9961495,6.4296007,4.1441994,5.6667523,5.914864,3.6692767,3.8323538,0.33162555,0.20695224,0.21698958,0.19367251,0.40953636,0.3136491,0.22918645,0.5076226,0.42235363,0.62679523,0.4364873,0.23796621,0.31020904,0.18564147,0.16840518,0.15942164,0.2931915,0.24224743,0.15682255,0.4160915,0.17084898,0.32851526,0.28637844,0.15781187
st12-jangan_pernah_berubah,verse,Gm,ii,50.340861678,53.49877551,-403.4319,180.54987,24.758902,24.185152,19.93724,21.605482,11.883242,13.383511,2.1349812,-3.0273616,12.86275,-0.2480956,-3.118756,30.319962,17.073906,6.832329,12.097507,6.19251,4.1697044,5.0729165,4.254088,5.0010824,4.131037,4.8747973,4.701459,3.65737,0.42623824,0.13205221,0.05086732,0.035554375,0.052096706,0.06178778,0.04206208,0.0586866,0.17621143,0.41667563,0.7879761,0.9813744,0.07815391,0.07190017,0.12843043,0.11019788,0.1866783,0.19385614,0.11026405,0.0707555,0.04417156,0.06412043,0.08650265,0.107268155
st12-jangan_pernah_berubah,verse,Dm,vi,53.49877551,56.587029478,-758.73315,74.068474,22.04466,9.51031,9.739566,5.743322,0.04769869,-3.2382767,-6.178488,-3.3735821,2.3478653,2.7288127,-2.7506464,61.91895,26.370096,12.119515,7.878057,7.6434665,6.076923,4.811486,5.086412,5.086896,3.8480852,4.330155,3.705908,4.224273,0.19767745,0.26964617,0.54060555,0.27470064,0.2630732,0.3974109,0.21629836,0.13600825,0.34081826,0.7484494,0.3571518,0.17261247,0.1929829,0.17202748,0.3567693,0.16133802,0.18742901,0.30945516,0.15558615,0.13269076,0.17145374,0.2937604,0.22283882,0.19391836
st12-jangan_pernah_berubah,verse,F,I,56.587029478,59.698503401,-796.4672,83.73807,16.284998,13.971609,12.667192,0.83060014,-3.706752,-0.9331655,-9.04449,-1.9575995,2.574711,1.5175912,-8.1997175,39.49816,17.304596,8.378505,8.431749,6.8741336,5.8082266,5.234019,5.8670096,4.948736,5.163278,4.5729322,4.1778417,4.8061604,0.62927234,0.28370312,0.11507651,0.12559381,0.20296521,0.32133958,0.17549555,0.25685734,0.3362961,0.73973465,0.41685447,0.32550928,0.3469693,0.20949884,0.12189497,0.13894583,0.16323778,0.24305522,0.14157708,0.23635757,0.16199993,0.32215723,0.22055133,0.18458411
st12-jangan_pernah_berubah,verse,Gm,ii,59.698503401,62.902857143,-813.42755,83.49748,9.7920065,8.0189,12.734281,4.447054,-0.44602704,0.6974898,-3.6812015,-0.6601641,-0.5341946,-1.7923404,-6.9062057,37.5183,11.966731,11.669371,9.109569,8.194025,5.780579,5.3575873,6.189164,4.589365,5.776218,4.948977,5.6947694,4.8225026,0.28098825,0.33383858,0.6964652,0.34164253,0.2187971,0.23356824,0.26800942,0.6155931,0.39682177,0.46521205,0.56264013,0.38448927,0.2415808,0.18193531,0.30373642,0.17832857,0.19897056,0.18725413,0.14161137,0.3125794,0.24494761,0.2588984,0.31319702,0.21097268
st12-jangan_pernah_berubah,verse,A,III,62.902857143,69.009705215,-804.3065,86.053375,15.887192,10.050723,13.183822,5.3372707,0.68673587,1.9537947,-6.792397,-3.7338347,0.7270249,0.890422,-5.5937667,36.264236,13.70115,11.407672,6.257393,7.102385,5.1906376,5.622702,5.8533,5.3031077,5.51048,4.7696967,5.115689,4.4819894,0.19056274,0.34690577,0.2771372,0.28780928,0.5587692,0.34018302,0.21098833,0.29435527,0.43505642,0.65474945,0.34368947,0.22248758,0.1560763,0.28221947,0.22451392,0.18911503,0.3615935,0.24693951,0.18488574,0.29186478,0.24786717,0.36745164,0.21945891,0.19057178
st12-jangan_pernah_berubah,pre-chorus,Bb,IV,69.009705215,70.658321995,-767.85895,77.71588,23.430569,11.140939,5.290437,7.9049582,-0.4018948,0.57854205,-6.6226635,-2.4009876,-0.36435774,-2.2229097,-5.302462,32.776638,12.172462,9.497637,6.199737,6.8608184,7.6662087,5.5310845,4.63238,6.8007674,5.056991,3.7749236,6.1023912,5.8489013,0.31048143,0.3237955,0.61369574,0.34415352,0.29643834,0.63366216,0.3715442,0.18226568,0.20911069,0.45616707,0.5851695,0.4199401,0.24962288,0.19014765,0.3203942,0.17397399,0.22348602,0.31951553,0.20210567,0.15696673,0.1572863,0.29490173,0.30894253,0.26315445
st12-jangan_pernah_berubah,pre-chorus,C,V,70.658321995,72.190839002,-772.94476,86.4337,28.276339,14.645063,6.063405,3.5073411,-0.8047757,-0.24519633,-14.287376,-7.231448,-4.1736073,-4.5013003,-2.9479167,31.6793,8.965209,10.807769,6.7108493,7.5352387,6.447522,6.0982924,4.949151,6.166615,5.1216087,4.5972857,4.84998,4.4966564,0.6066224,0.290269,0.21074924,0.24689367,0.42436513,0.3430136,0.42765713,0.7855525,0.5053169,0.37567213,0.2728746,0.32481822,0.31269652,0.1644971,0.20089805,0.18090726,0.262441,0.22804469,0.22446397,0.29924446,0.2192144,0.28465524,0.22004484,0.19146924
st12-jangan_pernah_berubah,pre-chorus,F,I,72.190839002,72.98031746,-744.2561,73.519485,22.380085,12.295984,-0.28661665,3.430643,-2.6976898,-6.3922224,-15.481789,-0.7935441,-3.4762433,-5.413937,-2.5041516,25.927866,4.8541102,7.018259,4.5232577,3.7359977,4.4678397,5.7383327,3.299173,3.8241823,3.8292303,3.739632,4.3516736,4.1175017,0.4895195,0.3086884,0.15248594,0.19352198,0.31216764,0.5885296,0.400694,0.37374395,0.37964493,0.84786063,0.5565942,0.29595333,0.27594173,0.15865363,0.12025281,0.19439283,0.14012757,0.2678465,0.21360737,0.2759625,0.17800482,0.21555912,0.16488251,0.14936021
