track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,0.27778423,0.29129696,0.29325473,0.3625369,0.51026356,0.82042027,0.62743986,0.26574305,0.27387804,0.43857902,0.36846748,0.23519324,0.20812744,0.24685515,0.27139947,0.27766252,0.293654,0.2835274,0.29392847,0.17293625,0.21106637,0.31327048,0.31520224,0.21091692
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,0.32189083,0.36080903,0.35410342,0.3423562,0.36777195,0.56603503,0.40520674,0.6280209,0.43975753,0.4796039,0.30429208,0.24990307,0.2208787,0.2482923,0.21618198,0.22751814,0.24127178,0.35332164,0.1508883,0.34657738,0.21138431,0.33251864,0.22536959,0.153025
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,0.23284046,0.33332878,0.26840046,0.31861818,0.6320559,0.5922925,0.24344425,0.25808743,0.35537773,0.45027253,0.28417566,0.28030208,0.164876,0.32232136,0.19548891,0.20299014,0.3198087,0.30204535,0.16744152,0.2410859,0.26574054,0.31041807,0.18039344,0.2739756
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,0.14160013,0.26944923,0.5515022,0.2498355,0.24534899,0.35207206,0.4261433,0.695043,0.40185803,0.33039623,0.2606894,0.16116436,0.14537495,0.16822922,0.3524908,0.18152349,0.26297423,0.27064633,0.2881746,0.35168248,0.24611455,0.24102396,0.20792739,0.14576502
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,0.2186962,0.30406737,0.32530573,0.38802657,0.73848784,0.5945479,0.27107596,0.2653121,0.42777097,0.5419515,0.2860665,0.18686396,0.14865783,0.26301855,0.23610713,0.21605954,0.28930667,0.25756285,0.18312953,0.2301278,0.29193228,0.34744084,0.20533016,0.15681535
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,0.17590259,0.26082137,0.4774851,0.22104773,0.1953837,0.2912088,0.42626196,0.7403364,0.33748406,0.33235526,0.33278835,0.18526429,0.19402358,0.20501913,0.35264683,0.16646431,0.20549336,0.24867004,0.24798606,0.3350563,0.18203522,0.27442878,0.27767697,0.16353738
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,0.1970519,0.104509495,0.1488403,0.25003275,0.4689635,0.6923624,0.38741288,0.18609886,0.15988053,0.16327134,0.15934667,0.19392559,0.22630215,0.16581424,0.25291896,0.2839701,0.3185379,0.3679649,0.29492885,0.27486238,0.2385275,0.2837311,0.27386543,0.24582964
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,0.20654336,0.123115666,0.1423382,0.2939036,0.6414725,0.5597655,0.35287553,0.26961055,0.43102413,0.4425469,0.24758995,0.24187794,0.24601628,0.1754472,0.15865529,0.21813957,0.34800628,0.33758405,0.28048414,0.27008232,0.38076138,0.39839244,0.23639856,0.25380427
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,0.07880972,0.052543916,0.06384281,0.07161812,0.09747294,0.105637595,0.123982266,0.22809276,0.3264023,0.5794452,0.66712344,0.3005347,0.15393145,0.15190655,0.17909211,0.15648247,0.14543483,0.11555343,0.18923026,0.35366607,0.33697093,0.35883865,0.36780992,0.30178514
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,0.1308904,0.12039228,0.13106494,0.24472602,0.63714916,0.3556652,0.10604359,0.1364818,0.36417362,0.76138896,0.5575476,0.19361304,0.20221971,0.1933078,0.23348542,0.24175808,0.3161733,0.21397652,0.10758568,0.15135302,0.25263923,0.31478474,0.28876042,0.21295074
st12-jangan_pernah_berubah,verse,F,I,31.672018141,34.806712018,0.5765847,0.31180587,0.10370098,0.08961127,0.101450056,0.1058453,0.09352229,0.11781529,0.1286909,0.32301018,0.43113694,0.41735107,0.4437935,0.3070385,0.17171235,0.19209012,0.21154675,0.20779285,0.15524985,0.17620349,0.17153613,0.37876105,0.36563095,0.3300034
st12-jangan_pernah_berubah,verse,Gm,ii,34.806712018,37.918185941,0.20173134,0.10045762,0.07690401,0.0754559,0.078710854,0.28316242,0.13793811,0.11808337,0.10829047,0.3010659,0.7526648,0.4757365,0.32211134,0.21384723,0.19391532,0.20138624,0.14788114,0.36351156,0.18113492,0.25854188,0.1833845,0.21724062,0.35099667,0.21415508
st12-jangan_pernah_berubah,verse,A,III,37.918185941,44.048253968,0.16402929,0.23823763,0.3246289,0.31726822,0.47904143,0.41654438,0.14939225,0.11053985,0.17837872,0.40840992,0.4076899,0.24146162,0.17925408,0.29283655,0.35877183,0.31630868,0.38054678,0.3505087,0.16371176,0.16042796,0.19856924,0.4226923,0.39477295,0.2614654
st12-jangan_pernah_berubah,verse,Dm,vi,44.048253968,47.25260771,0.23286138,0.15911461,0.16560824,0.27397057,0.52573633,0.67437434,0.33079523,0.10938338,0.13627893,0.18831502,0.16254638,0.17712961,0.25706953,0.16531324,0.1910965,0.29528224,0.33975732,0.34968624,0.27710494,0.15210313,0.24483766,0.29689422,0.27571985,0.24766618
st12-jangan_pernah_berubah,verse,Am,iii,47.25260771,50.340861678,0.60685027,0.3456207,0.19090973,0.20600034,0.4614479,0.37307277,0.20267463,0.23000264,0.22134927,0.31081975,0.38831085,0.5027171,0.36306792,0.25557962,0.13524145,0.18019012,0.40299112,0.3116987,0.19869095,0.25422063,0.220756,0.31553394,0.32790965,0.28589988
st12-jangan_pernah_berubah,verse,Gm,ii,50.340861678,53.49877551,0.114556246,0.12527554,0.12906592,0.059139106,0.12431948,0.3645235,0.09617409,0.06206155,0.18179035,0.48888507,0.65932643,0.2638802,0.23914273,0.26022843,0.28055638,0.14985089,0.1313574,0.40960914,0.13068922,0.14080267,0.25463268,0.34201947,0.36798856,0.24942851
st12-jangan_pernah_berubah,verse,Dm,vi,53.49877551,56.587029478,0.18064468,0.17139049,0.22657251,0.221384,0.56861234,0.32731044,0.13495292,0.16974375,0.33241215,0.62654567,0.49072614,0.22910112,0.25195372,0.21793422,0.33262682,0.22487666,0.37155664,0.27008674,0.19735529,0.20407599,0.261374,0.3449716,0.31552288,0.29529673
st12-jangan_pernah_berubah,verse,F,I,56.587029478,59.698503401,0.60539734,0.31325132,0.09751235,0.06646738,0.06862197,0.07023714,0.07350632,0.1237382,0.117734745,0.25662383,0.4604257,0.4617744,0.4230448,0.30320594,0.18196033,0.14317212,0.103305906,0.1532805,0.1530625,0.17381243,0.1578236,0.31271765,0.4111183,0.33229357
st12-jangan_pernah_berubah,verse,Gm,ii,59.698503401,62.902857143,0.24599448,0.13132156,0.0876888,0.08456242,0.12647736,0.3322222,0.19488326,0.15072823,0.13686723,0.2995132,0.72559994,0.49678978,0.3310971,0.2188362,0.15897879,0.16601703,0.19534238,0.364167,0.21438392,0.2669857,0.18511324,0.23271196,0.36185265,0.2561057
st12-jangan_pernah_berubah,verse,A,III,62.902857143,69.009705215,0.17652223,0.22274806,0.3034308,0.39115968,0.56413186,0.4082581,0.1668022,0.20633052,0.24698581,0.40489027,0.35824156,0.25929585,0.23299898,0.26830307,0.3140893,0.29451987,0.36819372,0.30775094,0.15354586,0.26888,0.24872203,0.39015883,0.36459407,0.30389968
st12-jangan_pernah_berubah,pre-chorus,Bb,IV,69.009705215,70.658321995,0.30437338,0.26945367,0.4277839,0.2204169,0.13489977,0.25410503,0.22132199,0.17807515,0.13332085,0.23948304,0.460582,0.35265076,0.36429965,0.26172096,0.41029727,0.21500841,0.16210718,0.3366849,0.26236,0.26892713,0.16161484,0.26261827,0.40819237,0.2985239
st12-jangan_pernah_berubah,pre-chorus,C,V,70.658321995,72.190839002,0.19436333,0.08252706,0.14526294,0.20352913,0.16981734,0.1478711,0.17673008,0.33370507,0.3128356,0.44464043,0.45318827,0.3003215,0.3006688,0.11726058,0.2186278,0.31209448,0.19924287,0.1534397,0.23604421,0.33662322,0.25808257,0.3806926,0.3728596,0.30904293
st12-jangan_pernah_berubah,pre-chorus,F,I,72.190839002,72.98031746,0.10733573,0.05040879,0.07462494,0.18053044,0.58846337,0.51669973,0.20056431,0.13038605,0.19093753,0.47812,0.5689088,0.34598842,0.1711871,0.07807849,0.09484975,0.23625533,0.42163405,0.27126217,0.20514977,0.11559401,0.17049575,0.32311773,0.3142347,0.38695374
st12-jangan_pernah_berubah,pre-chorus,Em,vii,72.98031746,73.793015873,0.35974318,0.5162377,0.42099822,0.4204727,0.31366527,0.47900614,0.5930487,0.36982626,0.28446984,0.22148111,0.1807669,0.14489368,0.3125625,0.36174324,0.2901423,0.30819622,0.24316369,0.28876755,0.33955795,0.24004804,0.28177592,0.25538078,0.2823437,0.22864206
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,73.793015873,75.348752834,0.4689599,0.344542,0.29214507,0.3509934,0.59084624,0.7532605,0.39794728,0.17011711,0.14183937,0.19184478,0.13043495,0.1881348,0.31056017,0.285222,0.2804798,0.26351747,0.31920838,0.28826478,0.20258418,0.16049807,0.17550527,0.26497892,0.17718647,0.18908155
st12-jangan_pernah_berubah,pre-chorus,Em,vii,75.348752834,76.834829932,0.30765828,0.21767263,0.22751169,0.24103437,0.23326148,0.19687925,0.1433832,0.19699448,0.3803208,0.5459693,0.69251275,0.60539246,0.26827508,0.25795949,0.2824637,0.29123878,0.28216824,0.2124578,0.14145313,0.15551746,0.30503684,0.2954494,0.32793218,0.3559715
st12-jangan_pernah_berubah,pre-chorus,A,III,76.834829932,78.390566893,0.16337131,0.08119366,0.14628917,0.32758465,0.50856274,0.43685523,0.2825077,0.27217004,0.29336417,0.24322595,0.10773547,0.20663622,0.27291906,0.14037116,0.2640041,0.29260996,0.3546225,0.3514939,0.25199515,0.329578,0.3646651,0.35242254,0.13491993,0.31727985
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,78.390566893,81.478820862,0.39885113,0.25726888,0.11307097,0.2256545,0.49404812,0.65383554,0.3722977,0.20315447,0.1842321,0.20198755,0.139465,0.16175322,0.31661725,0.2650583,0.16732104,0.23090184,0.32185626,0.37643328,0.2476482,0.25984564,0.2232121,0.2657877,0.24602738,0.17472568
st12-jangan_pernah_berubah,pre-chorus,Am,iii,81.478820862,84.613514739,0.27869123,0.17286634,0.22062212,0.54390043,0.39182615,0.13644254,0.15919803,0.14155924,0.15712917,0.15682581,0.21180557,0.33820233,0.3471439,0.253378,0.27650827,0.41329736,0.34535104,0.19724037,0.26873344,0.24119216,0.29125515,0.26621494,0.26020515,0.3860848
st12-jangan_pernah_berubah,pre-chorus,Dm,vi,84.613514739,87.771428571,0.11818556,0.16658635,0.24267478,0.26420802,0.40082383,0.21911365,0.16452496,0.2011707,0.23077305,0.3112415,0.18694888,0.08622266,0.23926064,0.2775798,0.37513173,0.30898252,0.42323652,0.27908474,0.23308264,0.33996546,0.27264997,0.36598098,0.28258276,0.15041323
st12-jangan_pernah_berubah,pre-chorus,Gm,ii,87.771428571,89.303945578,0.24593894,0.048839666,0.019351037,0.110295124,0.22113156,0.08710966,0.10227918,0.15062208,0.20518805,0.41069227,0.51558477,0.32466844,0.3786574,0.09292402,0.040850602,0.23753539,0.36566964,0.11068478,0.1710116,0.24394976,0.30833647,0.33758986,0.41215724,0.3486375
